"Year","Month","Samples Meeting TAT (3 days)","Failed Samples","Total Samples Tested","Samples Meeting TAT (5 days)"
"2019","Mar","374","30","14937","7204"
"2019","Apr","374","77","18625","9419"
"2019","May","374","49","16898","13624"
